ps_product_id,product_name,category_name,brand_name,synonyms_pl,synonyms_en
3,APEKS Torba na automat,Torby na Automaty,APEKS,"torba na automat, pokrowiec na automat, etui na automat, torba na automat oddechowy","regulator bag, regulator case, regulator pouch, reg bag, regulator carry bag"
11,Automat APEKS ATX40 / DS4,APEKS,APEKS,"automat oddechowy, regulator, automat, zestaw regulatora, automat nurkowy","regulator, scuba regulator, regulator set, first and second stage, demand valve, diving regulator, lung"
17,APEKS DST 1. stopień,1 stopnie,APEKS,"pierwszy stopień, reduktor, i stopień automatu, głowica, pierwsza faza, automat oddechowy i stopień","first stage, regulator first stage, 1st stage, dive regulator first stage, first stage regulator"
18,APEKS DS4 1. stopień,APEKS,APEKS,"pierwszy stopień, reduktor, i stopień automatu, głowica, pierwszy stopień automatu, automat oddechowy i stopień","first stage, regulator first stage, 1st stage, dive regulator first stage, first stage regulator"
24,APEKS XTX40 2. stopień,2 stopnie,APEKS,"drugi stopień, ii stopień automatu, automat oddechowy, drugi stopień automatu","second stage, regulator second stage, 2nd stage, demand valve, reg second stage"
25,APEKS XTX50 2. stopień,2 stopnie,APEKS,"drugi stopień, ii stopień automatu, drugi stopień automatu, 2. stopień automatu, drugi stopień automatu oddechowego","second stage, regulator second stage, 2nd stage, demand valve, second stage regulator"
44,APEKS Zawór odcinający Freeflow Control Device,Akcesoria do automatów,APEKS,"zawór odcinający, zabezpieczenie automatu, zawór przeciw freeflow, blokada freeflow, zawór odcinający freeflow","freeflow control device, anti-freeflow valve, regulator accessory, freeflow shut-off valve, anti-freeflow device, freeflow control valve"
58,APEKS Zawór Wypustowy Auto Niskopr.,Skafandry Suche,APEKS,"zawór wypustowy, zawór skafandra suchego, automatyczny zawór upustowy, zawór suchego skafandra, zawór wydechowy skafandra, zawór upustowy, zawór auto-dump","exhaust valve, drysuit valve, auto dump valve, drysuit exhaust valve, automatic dump valve, low profile dump valve, low profile exhaust valve, auto exhaust valve"
213,"HALCYON Duża boja nurkowa (1.4m), zamknięta, pomarańczowa",Boje nurkowe,HALCYON,"boja dekompresyjna, bojka deco, smb, kiełbasa, bojka sygnalizacyjna, boja sygnalizacyjna, dsmb, boja deco","smb, surface marker buoy, dsmb, deco buoy, safety sausage, delayed surface marker buoy, signal buoy"
214,"HALCYON Extra duża boja nurkowa (1.8 m), zamknięta, pomarańczowa",Boje nurkowe,HALCYON,"boja dekompresyjna, bojka deco, smb, kiełbasa, bojka sygnalizacyjna, boja sygnalizacyjna, bojka dekompresyjna, boja deco","smb, surface marker buoy, dsmb, deco buoy, safety sausage, delayed surface marker buoy, decompression buoy"
