ps_product_id,product_name,category_name,brand_name,synonyms_pl,synonyms_en
3,APEKS Torba na automat,Torby na Automaty,APEKS,"torba na automat, pokrowiec na regulator, torba nurkowa, pokrowiec na automat, torba na aparat oddechowy","regulator bag, regulator case, regulator pouch, diving bag"
11,Automat APEKS ATX40 / DS4,APEKS,APEKS,"automat oddechowy, regulator, aparat oddechowy, automat","regulator, scuba regulator, breathing apparatus, demand valve, lung"
17,APEKS DST 1. stopień,1 stopnie,APEKS,"aparat oddechowy, pierwszy stopień, reduktor, 1. stopień automatu, i stopień","first stage, 1st stage, regulator first stage, scuba first stage"
18,APEKS DS4 1. stopień,APEKS,APEKS,"aparat oddechowy, pierwszy stopień, reduktor, 1. stopień automatu, i stopień","first stage, 1st stage, regulator first stage, scuba first stage"
24,APEKS XTX40 2. stopień,2 stopnie,APEKS,"aparat oddechowy, drugi stopień, ustnik, ii stopień automatu, 2. stopień automatu","second stage, 2nd stage, regulator second stage, demand valve"
25,APEKS XTX50 2. stopień,2 stopnie,APEKS,"aparat oddechowy, drugi stopień, ustnik, ii stopień automatu, 2. stopień automatu","second stage, 2nd stage, regulator second stage, demand valve"
44,APEKS Zawór odcinający Freeflow Control Device,Akcesoria do automatów,APEKS,"zawór odcinający, akcesoria do automatu, zabezpieczenie automatu, akcesoria do aparatu oddechowego","freeflow control device, regulator valve, shutoff valve, regulator accessory"
58,APEKS Zawór Wypustowy Auto Niskopr.,Zawory do suchego skafandra,APEKS,"zawór wypustowy, zawór do suchego skafandra, zawór spustowy, zawór suchara","exhaust valve, drysuit valve, auto dump valve, low profile dump valve"
213,"HALCYON Duża boja nurkowa (1.4m), zamknięta, pomarańczowa",Bojki dekompresyjne,HALCYON,"boja dekompresyjna, smb, bojka deco, boja sygnalizacyjna","smb, surface marker buoy, dsmb, deco buoy, safety sausage"
214,"HALCYON Extra duża boja nurkowa (1.8 m), zamknięta, pomarańczowa",Bojki dekompresyjne,HALCYON,"boja dekompresyjna, smb, bojka deco, boja sygnalizacyjna","smb, surface marker buoy, dsmb, deco buoy, safety sausage"
220,HALCYON Kołowrotek Pathfinder 400' (122m),Kołowrotki,HALCYON,"kołowrotek, reel, kołowrotek jaskiniowy, szpulka, spool","reel, cave reel, dive reel, spool, exploration reel"
222,HALCYON Kołowrotek Pathfinder 800' (244m),Kołowrotki,HALCYON,"kołowrotek, reel, kołowrotek jaskiniowy, szpulka, spool","reel, cave reel, dive reel, spool, exploration reel"
230,HALCYON Uprząż do butli stage 7l,Uprzęże i Mocowania,HALCYON,"aparat oddechowy, uprząż stage, mocowanie butli bocznej, uchwyt stage, szelki do stage","stage harness, stage cylinder harness, side mount strap, stage rigging"
231,HALCYON Kieszeń na płytę do BC,Płyty i uprzęże,HALCYON,"kieszeń do uprzęży, kieszeń na płytę, akcesoria do backplate, kieszeń do blachy","backplate pocket, plate pocket, harness pocket, bc pocket"
232,Zestaw HALCYON Eclipse System 30/40 lbs SS/ALU,Skrzydła z uprzężą do Poj. Butli,HALCYON,"skrzydło nurkowe, wing, komplet do nurkowania, system wypornościowy, bcd do jednej butli","wing system, backplate and wing, single tank wing, buoyancy system, bp/w set"
239,Skrzydło HALCYON Evolve System 40/60 lbs,Skrzydła z uprzężą do Twina,HALCYON,"skrzydło nurkowe, wing do twina, system wypornościowy, worek wypornościowy, skrzydło techniczne","wing, twin tank wing, technical wing, buoyancy wing, backplate and wing"
243,"HALCYON Kieszenie trymujące, para, 5lb (2.2kg)",Systemy Balastowe,HALCYON,"kieszenie balastowe, balast trymujący, obciążniki do trymowania, pas balastowy, system balastowy","trim pockets, trim weight pockets, ballast pockets, trim weights, weight pockets"
247,HALCYON Klamra stalowa do pasa balastowego,Płyty i uprzęże,HALCYON,"klamra do pasa, sprzączka balastowa, klamra uprzęży, akcesoria do pasa balastowego","weight belt buckle, harness buckle, belt buckle, steel buckle"
299,Maska SCUBATECH Panda dla dzieci niebieska,Maski jednoszybowe,SCUBATECH,"maska nurkowa, maska dla dzieci, maska jednoszybowa, gogle nurkowe","diving mask, kids diving mask, single lens mask, snorkeling mask, dive mask"
300,Maska SCUBATECH Frameless II,Maski jednoszybowe,SCUBATECH,"maska nurkowa, maska bezramkowa, maska jednoszybowa, maska frameless, gogle nurkowe","frameless mask, diving mask, single lens mask, frameless diving mask, dive mask"
301,"Maska TECLINE Frameless II, dzielona szyba",Maski dwuszybowe,TECLINE,"maska nurkowa, maska dwuszybowa, gogle nurkowe, maska bezramkowa","diving mask, frameless mask, dive mask, two-lens mask"
303,Maska SCUBATECH Corsica,Maski dwuszybowe,SCUBATECH,"maska nurkowa, maska dwuszybowa, gogle nurkowe, maska do nurkowania","diving mask, dive mask, two-lens mask, scuba mask"
312,Nóż SCUBATECH Eagle,Noże,SCUBATECH,"nóż nurkowy, nóż do nurkowania, nóż do sieci, nóż ze stali nierdzewnej","diving knife, dive knife, scuba knife, underwater knife"
314,Nóż SCUBATECH Mastercut II,Noże,SCUBATECH,"nóż nurkowy, nóż do nurkowania, nóż ze stali nierdzewnej, nóż do sieci","diving knife, dive knife, scuba knife, underwater knife"
315,SCUBATECH Nóż-Nożyce,Noże,SCUBATECH,"nóż nurkowy, nożyce nurkowe, sekator nurkowy, nóż do sieci","diving knife, dive shears, scuba knife, underwater scissors"
316,Nóż SCUBATECH Finn II,Noże,SCUBATECH,"nóż nurkowy, nóż do nurkowania, nóż do sieci, nóż ze stali nierdzewnej","diving knife, dive knife, scuba knife, underwater knife"
317,Nóż SCUBATECH Finn I,Noże,SCUBATECH,"nóż nurkowy, nóż do nurkowania, nóż do sieci, nóż ze stali nierdzewnej","diving knife, dive knife, scuba knife, underwater knife"
319,"Nóż SCUBATECH Minirazor Alfa, nylon",Noże,SCUBATECH,"nóż nurkowy, nóż do sieci, nóż do bcd, mały nóż nurkowy","diving knife, dive knife, scuba knife, bcd knife, small dive knife"
320,"Nóż SCUBATECH Minirazor Alfa, plastik",Noże,SCUBATECH,"nóż nurkowy, nóż do sieci, nóż do bcd, mały nóż nurkowy","diving knife, dive knife, scuba knife, bcd knife, small dive knife"
321,"Nóż SCUBATECH Minirazor Beta, nylon",Noże,SCUBATECH,"nóż nurkowy, nóż do sieci, nóż do bcd, mały nóż nurkowy","diving knife, dive knife, scuba knife, bcd knife, small dive knife"
322,"Nóż SCUBATECH Minirazor Beta, plastik",Noże,SCUBATECH,"nóż nurkowy, nóż do sieci, nóż techniczny, nóż do bcd","dive knife, diving knife, scuba knife, bcd knife"
325,SCUBATECH Nóż do cięcia sieci - szarpak,Noże,SCUBATECH,"nóż nurkowy, nóż do sieci, szarpak nurkowy, sekator, nóż do linek","dive knife, net cutter, line cutter, diving knife, safety cutter"
353,"Wąż SCUBATECH LP 50cm czarny, standard",Węże do Automatów,SCUBATECH,"wąż do automatu, wąż niskiego ciśnienia, wąż lp, wąż oddechowy","lp hose, low pressure hose, regulator hose, breathing hose"
354,"Wąż SCUBATECH LP 70cm czarny, standard",Węże do Automatów,SCUBATECH,"wąż do automatu, wąż niskiego ciśnienia, wąż lp, wąż oddechowy","lp hose, low pressure hose, regulator hose, breathing hose"
355,Wąż SCUBATECH LP 90cm czarny,Węże do Automatów,SCUBATECH,"wąż do automatu, wąż niskiego ciśnienia, wąż lp, wąż oddechowy","lp hose, low pressure hose, regulator hose, breathing hose"
356,Wąż SCUBATECH LP 120cm czarny,Węże do Automatów,SCUBATECH,"wąż do automatu, wąż niskiego ciśnienia, wąż lp, wąż oddechowy","lp hose, low pressure hose, regulator hose, breathing hose"
357,Wąż SCUBATECH LP 200cm czarny,Węże do Automatów,SCUBATECH,"wąż do automatu, wąż niskiego ciśnienia, wąż lp, długi wąż oktopusa","lp hose, low pressure hose, regulator hose, long hose"
358,Wąż SCUBATECH LP 210cm czarny,Węże do Automatów,SCUBATECH,"wąż do automatu, wąż niskiego ciśnienia, wąż lp, długi wąż oktopusa","lp hose, low pressure hose, regulator hose, long hose"
359,Wąż SCUBATECH LP 100cm żółty,Węże do Automatów,SCUBATECH,"wąż do automatu, wąż niskiego ciśnienia, wąż lp, wąż oddechowy","lp hose, low pressure hose, regulator hose, breathing hose"
360,Wąż SCUBATECH LP 120cm żółty,Węże do Automatów,SCUBATECH,"wąż do automatu, wąż niskiego ciśnienia, wąż lp, wąż oddechowy","lp hose, low pressure hose, regulator hose, breathing hose"
361,Wąż SCUBATECH LP 150cm żółty,Węże do Automatów,SCUBATECH,"wąż niskiego ciśnienia, wąż lp, wąż do automatu, wąż gumowy, wąż do regulatora","lp hose, low pressure hose, regulator hose, scuba hose"
362,Wąż SCUBATECH LP 200cm żółty,Węże do Automatów,SCUBATECH,"wąż niskiego ciśnienia, wąż lp, wąż do automatu, wąż gumowy, wąż do regulatora","lp hose, low pressure hose, regulator hose, scuba hose"
363,Wąż SCUBATECH LP 210cm żółty,Węże do Automatów,SCUBATECH,"wąż niskiego ciśnienia, wąż lp, wąż do automatu, wąż gumowy, wąż do regulatora","lp hose, low pressure hose, regulator hose, scuba hose"
364,Wąż SCUBATECH do inflatora 55cm,Węże do Inflatorów,SCUBATECH,"wąż inflatora, wąż do inflatora, wąż pompki bcd, wąż lp do kamizelki","inflator hose, bcd inflator hose, low pressure inflator hose, wing inflator hose"
365,SCUBATECH Kołowrotek DR,Kołowrotki,SCUBATECH,"kołowrotek nurkowy, reel, szpulka, kołowrotek jaskiniowy, spool","dive reel, diving reel, cave reel, spool, line reel"
372,Zestaw o-ringów duży SCUBATECH,Akcesoria do automatów,SCUBATECH,"aparat oddechowy, o-ringi do automatu, uszczelki do automatu, zestaw uszczelek, o-ringi nurkowe","o-ring kit, regulator o-rings, scuba o-rings, o-ring set, diving o-rings"
374,Sygnalizator na butlę SCUBAPRO Tank Banger,Sygnalizatory,SCUBAPRO,"sygnalizator dźwiękowy, sygnalizator na butlę, kula sygnałowa, tank banger, grzechotka nurkowa","tank banger, cylinder banger, underwater noisemaker, dive signal, tank alert"
376,SCUBATECH Zaczep do węża,Akcesoria do automatów,SCUBATECH,"aparat oddechowy, zaczep do węża, uchwyt do węża, organizator węży, klips do węża","hose retainer, hose clip, regulator hose holder, hose keeper"
377,SCUBATECH Zaczep do octopusa gruszka żółty,Akcesoria do automatów,SCUBATECH,"aparat oddechowy, uchwyt do octopusa, zaczep do oktopusa, holster do octo, uchwyt zapasowego automatu","octopus holder, octo retainer, alternate air source holder, octopus clip"
379,"SCUBATECH Ustnik ergonomiczny do automatu, czarny",Akcesoria do automatów,SCUBATECH,"aparat oddechowy, ustnik do automatu, ustnik ergonomiczny, ustnik do regulatora, ustnik nurkowy","regulator mouthpiece, scuba mouthpiece, ergonomic mouthpiece, diving mouthpiece"
380,SCUBATECH Ustnik do automatu długi czarny,Akcesoria do automatów,SCUBATECH,"aparat oddechowy, ustnik do regulatora, ustnik silikonowy, ustnik do drugiego stopnia, ustnik nurkowy","mouthpiece, regulator mouthpiece, silicone mouthpiece, second stage mouthpiece"
381,SCUBATECH Ustnik do automatu krótki czarny,Akcesoria do automatów,SCUBATECH,"aparat oddechowy, ustnik do regulatora, ustnik silikonowy, ustnik do drugiego stopnia, ustnik nurkowy","mouthpiece, regulator mouthpiece, silicone mouthpiece, second stage mouthpiece"
382,SCUBATECH Usztywniacz węża plast. czarny,Akcesoria do automatów,SCUBATECH,"aparat oddechowy, usztywniacz węża, osłona węża, zabezpieczenie węża, ochrona węża nurkowego","hose protector, hose stiffener, regulator hose guard, hose spring"
384,SCUBATECH Pasek do noża 50cm,Noże,SCUBATECH,"mocowanie noża, uchwyt do noża, pasek do mocowania noża, opaska na nóż","knife strap, knife holder, knife mount, knife attachment strap"
385,SCUBATECH Pasek do noża clips,Noże,SCUBATECH,"mocowanie noża, uchwyt do noża, pasek do mocowania noża, opaska na nóż","knife strap, knife clip strap, knife holder, knife mount"
386,"SCUBATECH Pasek do maski, czarny silikon",Akcesoria,SCUBATECH,"pasek do maski, pasek zapasowy do maski, opaska maski nurkowej, pasek silikonowy do maski","mask strap, diving mask strap, replacement mask strap, silicone mask strap"
388,SCUBATECH Klamra do pasa nierdzewna 50mm,Płyty i uprzęże,SCUBATECH,"klamra do pasa balastowego, klamra nierdzewna, sprzączka do uprzęży, zapięcie pasa balastowego","weight belt buckle, stainless steel buckle, harness buckle, belt buckle"
390,ScubaTech Siatka na butle 15L,Akcesoria do butli,SCUBATECH,"siatka ochronna na butlę, siatka na cylinder, ochraniacz butli, siatka do butli nurkowej","tank net, cylinder net, tank mesh, scuba tank net"
391,Stopa do butli 203mm SCUBATECH,Akcesoria do butli,SCUBATECH,"stopa do butli nurkowej, stopka butli, podstawa butli, stopa do cylindra","tank boot, cylinder boot, scuba tank boot, tank stand"
392,SCUBATECH Rączka do butli sztywna L,Akcesoria do butli,SCUBATECH,"rączka do butli, uchwyt do butli, uchwyty transportowe butli, rączka do cylindra","tank handle, cylinder handle, scuba tank handle, tank carrying handle"
393,"Taśma sztywna do pasa balastowego 1,5m",Systemy Balastowe,DIVEZONE.PL,"pas balastowy, taśma balastowa, system balastowy, balast, pas z ciężarkami","weight belt strap, ballast strap, weight system strap, diving weight belt"
394,Tabliczka TECLINE na rękę 3-częściowa,Tabliczki,TECLINE,"tabliczka nurkowa, tabliczka do pisania, notes nurkowy, tabliczka podwodna","dive slate, underwater slate, wrist slate, writing slate, dive tablet"
396,SCUBATECH Retraktor linka ze stali nierdzewnej,Retraktory,SCUBATECH,"retraktor nurkowy, zwijacz linki, smycz nurkowa, retraktor ze stali","retractor, diving retractor, stainless retractor, gear retractor, bungee retractor"
397,ScubaTech Retraktor Spirala kolor z karabinkiem,Retraktory,SCUBATECH,"retraktor nurkowy, smycz spiralna, zwijacz sprzętu, smycz nurkowa","coil retractor, spring retractor, gear retractor, diving retractor, coiled lanyard"
422,SUUNTO Torba na komputer,Baterie i akcesoria,SUUNTO,"etui na komputer nurkowy, pokrowiec na komputer, torba ochronna, futerał nurkowy","dive computer pouch, computer bag, dive computer case, protective pouch"
428,SUUNTO Bateria Vyper / Vyper II / Vyper AIR / Vytek / Cobra / Gekko / Zoop / HeLO2 (zestaw),Baterie i akcesoria,SUUNTO,"bateria do komputera nurkowego, ogniwo do komputera, akcesoria do komputera","dive computer battery, battery kit, replacement battery, computer battery set"
437,"SUUNTO Kabel USB (HelO2, Vyper, Vytec, Vytec DS, Vyper Air, Cobra, Cobra2, Cobra3, Zoop)",Interfejsy,SUUNTO,"interfejs do komputera nurkowego, kabel do komputera, akcesoria do komputera","dive computer interface, usb interface, computer cable, dive computer usb cable, data cable"
443,SUUNTO Osłona zabezpieczająca wyświetlacz Vyper / Vytek / Gekko / Zoop,Baterie i akcesoria,SUUNTO,"osłona wyświetlacza komputera, ochrona ekranu, akcesoria do komputera nurkowego, szkło ochronne","display protector, screen guard, dive computer screen protector, display cover"
451,SUUNTO Bezprzewodowy miernik ciśnienia w butli,Komputery SUUNTO,SUUNTO,"transmiter bezprzewodowy, bezprzewodowy manometr, czujnik ciśnienia, nadajnik ciśnienia, spg bezprzewodowy","wireless transmitter, air transmitter, wireless pressure sensor, tank pressure transmitter, wireless spg"
1070,BARE Szelki do suchego skafandra,Manszety i inne,BARE,"szelki do suchara, szelki do skafandra suchego, zawieszenie skafandra, uprząż skafandra","drysuit suspenders, drysuit braces, dry suit straps, drysuit harness straps"
1071,Kryza lateksowa SANTI,Manszety i inne,SANTI,"kryza do suchego skafandra, manszeta szyjna, uszczelnienie szyi, kołnierz lateksowy, kryza lateksowa","latex neck seal, drysuit neck seal, neck gasket, latex collar"
1074,Manszety butelkowe HD SANTI,Manszety i inne,SANTI,"manszety do suchego skafandra, manszety lateksowe, uszczelnienia nadgarstkowe, manszety nadgarstkowe","latex wrist seals, drysuit wrist gaskets, wrist seals, latex cuffs"
1146,Pianka BARE Dolphin Floaty 1mm,Skafandry Na CIEPŁE wody,BARE,"pianka dla dzieci, pianka neoprenowa, kombinezon do pływania, neopren dziecięcy, pianka na ciepłe wody","kids wetsuit, children wetsuit, swim suit, neoprene suit for kids, junior wetsuit"
1147,Kaptur BARE Dry Hood 7/5mm,Kaptury,BARE,"kaptur neoprenowy, kaptur nurkowy, kaptur suchy, głowa neoprenowa, kominiarka nurkowa","dry hood, neoprene hood, diving hood, dry diving hood"
1148,Kaptur BARE Tech Dry Hood 7/5mm z zamkiem,Kaptury,BARE,"kaptur neoprenowy z zamkiem, kaptur suchy, kaptur nurkowy, głowa neoprenowa, kominiarka nurkowa","dry hood with zipper, neoprene hood, diving hood, zip hood, dry diving hood"
