product_id,nazwa,marka,active,visibility,plec_wykryta,podstawa_plci,proponowany_chart,rozmiary_PS,status
6167,Bare 2mm Elate Short Damski,Bare,1,both,K,nazwa: damski,Bare/K,"10, 12, 14, 2, 4, 6, 8",OK — plec z nazwy
6073,BARE 2mm Revel Shorty - męskie,Bare,1,both,M,nazwa: meski,Bare/M,"2XL, 3XL, L, M, ML, S, XL",OK — plec z nazwy
5914,Bare 2mm Sport S-Flex Shorty,Bare,1,none,?,nazwa: brak znacznika plci,—,"2XL, 2XLS, 3XL, L, LT, M, ML, MLS, MLT, MS, MT, S, XL, XLS, XLT","PŁEĆ NIEJEDNOZNACZNA (nazwa: brak znacznika plci) — DO DECYZJI, sugestia M?"
6166,Bare 3/2mm Elate Full Damski,Bare,1,both,K,nazwa: damski,Bare/K,"10, 12, 14, 2, 4, 6, 8",OK — plec z nazwy
6164,Bare 5mm Elate Full Damski,Bare,1,both,K,nazwa: damski,Bare/K,"10, 10 Plus, 12, 12 Plus, 14, 2, 4, 4T, 6, 6T, 8, 8 Plus, 8T",OK — plec z nazwy
6838,BARE 5mm Evoke Full,Bare,1,both,?,nazwa: brak znacznika plci,—,"10, 10 Plus, 12, 12 Plus, 14, 2, 4, 6, 6+, 6T, 8, 8 Plus, 8T","PŁEĆ NIEJEDNOZNACZNA (nazwa: brak znacznika plci) — DO DECYZJI, sugestia K?"
6831,BARE 5mm Reactive Full,Bare,1,both,?,nazwa: brak znacznika plci,—,"2XL, 2XLS, 3XL, L, LS, LT, M, ML, MLS, MLT, MS, MT, S, XL, XLS, XLT","PŁEĆ NIEJEDNOZNACZNA (nazwa: brak znacznika plci) — DO DECYZJI, sugestia M?"
6165,Bare 7mm Elate Full Damski,Bare,1,both,K,nazwa: damski,Bare/K,"10, 10 Plus, 12, 12 Plus, 14, 2, 4, 4T, 6, 6 Plus, 6T, 8, 8 Plus, 8T",OK — plec z nazwy
6834,BARE 7mm Reactive Full,Bare,1,both,?,nazwa: brak znacznika plci,—,"2XL, 2XLS, 3XL, L, LS, LT, M, ML, MLS, MLT, MS, MT, S, XL, XLS, XLT","PŁEĆ NIEJEDNOZNACZNA (nazwa: brak znacznika plci) — DO DECYZJI, sugestia M?"
6842,BARE Exowear Full Suit Damski,Bare,0,none,K,nazwa: damski,Bare/K,"10, 10 Plus, 12, 12 Plus, 14, 2, 4, 4T, 6, 6 Plus, 6T, 8, 8 Plus, 8T",OK — plec z nazwy
