product_id,nazwa,marka,plec_chart,ma_chart,size_variants_niepuste,rozmiary_bez_progu,status
6167,Bare 2mm Elate Short Damski,Bare,Bare/K,T,T,,ZMAPOWANY
6073,BARE 2mm Revel Shorty - męskie,Bare,Bare/M,T,T,,ZMAPOWANY
5914,Bare 2mm Sport S-Flex Shorty,Bare,Bare/M,T,T,,ZMAPOWANY
6166,Bare 3/2mm Elate Full Damski,Bare,Bare/K,T,T,,ZMAPOWANY
6164,Bare 5mm Elate Full Damski,Bare,Bare/K,T,T,,ZMAPOWANY
6838,BARE 5mm Evoke Full,Bare,Bare/K,T,T,,ZMAPOWANY
6831,BARE 5mm Reactive Full,Bare,Bare/M,T,T,,ZMAPOWANY
6165,Bare 7mm Elate Full Damski,Bare,Bare/K,T,T,,ZMAPOWANY
6834,BARE 7mm Reactive Full,Bare,Bare/M,T,T,,ZMAPOWANY
6842,BARE Exowear Full Suit Damski,Bare,Bare/K,T,T,,ZMAPOWANY
6843,BARE Exowear Full Suit Męski,Bare,Bare/M,T,T,,ZMAPOWANY
4553,BARE Guppy dla dzieci,Bare,—,N,T,,lista Janka — skafander dzieciecy Bare (brak charta dzieciecego Bare)
5090,BARE Nixie Full 3/2mm Damski roz. 2,Bare,Bare/K,T,T,,ZMAPOWANY
5095,BARE Nixie Shorty 2mm Damskie,Bare,Bare/K,T,T,,ZMAPOWANY
6839,BARE Nixie Ultra Full 5mm Damski,Bare,Bare/K,T,T,,ZMAPOWANY
6841,BARE Nixie Ultra Full 7mm Damski,Bare,Bare/K,T,T,,ZMAPOWANY
5105,BARE Nixie Vest 7mm Damska,Bare,Bare/K,T,T,,ZMAPOWANY
5913,BARE Revel 3/2mm Full Męski,Bare,Bare/M,T,T,,ZMAPOWANY
6183,Bare Revel 5mm Full Męski,Bare,Bare/M,T,T,,ZMAPOWANY
5911,Bare Revel 7mm Full Męski,Bare,Bare/M,T,T,,ZMAPOWANY
3537,BARE Sport 2mm Shorty Damskie roz. 8,Bare,Bare/K,T,T,,ZMAPOWANY
5107,BARE Sport S-Flex 2mm Shorty Męski,Bare,Bare/M,T,T,,ZMAPOWANY
5111,BARE Sport S-Flex Vest 7mm Męski,Bare,Bare/M,T,T,,ZMAPOWANY
7331,BARE Sport Vest 7mm Damski,Bare,—,N,T,,"lista Janka — plec damska, ale MESKIE etykiety rozmiarow (konflikt)"
4554,BARE Tadpole dla dzieci,Bare,—,N,T,,lista Janka — skafander dzieciecy Bare (brak charta dzieciecego Bare)
6848,Bluza damska BARE Exowear,Bare,Bare/K,T,T,,ZMAPOWANY
6849,Bluza damska BARE Exowear - na zamek,Bare,Bare/K,T,T,,ZMAPOWANY
6844,Bluza męska BARE Exowear,Bare,Bare/M,T,T,,ZMAPOWANY
6845,Bluza zapinana BARE Exowear - męska,Bare,Bare/M,T,T,,ZMAPOWANY
1146,Pianka BARE Dolphin Floaty 1mm,Bare,Bare/K,T,T,,ZMAPOWANY
1890,"Pianka BARE Sprint Shorty 1,5mm",Bare,Bare/K,T,T,,ZMAPOWANY
6850,Spodnie BARE Exowear - damskie,Bare,Bare/K,T,T,,ZMAPOWANY
6846,Spodnie BARE Exowear - męskie,Bare,Bare/M,T,T,,ZMAPOWANY
5073,SCUBAPRO Definition 3mm Damski,Scubapro,Scubapro/K,T,T,,ZMAPOWANY
4718,SCUBAPRO Definition 3mm Męski,Scubapro,Scubapro/M,T,T,,ZMAPOWANY
4170,SCUBAPRO Definition 5mm Damski,Scubapro,Scubapro/K,T,T,,ZMAPOWANY
4171,SCUBAPRO Definition 5mm Męski,Scubapro,Scubapro/M,T,T,,ZMAPOWANY
3197,SCUBAPRO Definition 7mm Damski,Scubapro,Scubapro/K,T,T,,ZMAPOWANY
5074,SCUBAPRO Definition 7mm Męski,Scubapro,Scubapro/M,T,T,,ZMAPOWANY
4697,"SCUBAPRO Definition Shorty 2,5mm Damski",Scubapro,Scubapro/K,T,T,,ZMAPOWANY
3193,"SCUBAPRO Definition Shorty 2,5mm Męski",Scubapro,Scubapro/M,T,T,,ZMAPOWANY
3198,SCUBAPRO Definition Vest 6mm Damski,Scubapro,Scubapro/K,T,T,,ZMAPOWANY
4716,SCUBAPRO Definition Vest 6mm Męski,Scubapro,Scubapro/M,T,T,,ZMAPOWANY
6185,SCUBAPRO Everflex 3/2mm Damski,Scubapro,Scubapro/K,T,T,,ZMAPOWANY
6184,SCUBAPRO Everflex 3/2mm Męski,Scubapro,Scubapro/M,T,T,,ZMAPOWANY
2278,SCUBAPRO Everflex 5/4mm Damski,Scubapro,Scubapro/K,T,T,,ZMAPOWANY
5075,SCUBAPRO Everflex 5/4mm Męski,Scubapro,Scubapro/M,T,T,,ZMAPOWANY
5078,SCUBAPRO Everflex 6mm Vest Damski,Scubapro,Scubapro/K,T,T,,ZMAPOWANY
5077,SCUBAPRO Everflex 7/5mm Męski,Scubapro,Scubapro/M,T,T,,ZMAPOWANY
6672,SCUBAPRO Everflex Yulex-Dive 3/2mm Męski,Scubapro,Scubapro/M,T,T,,ZMAPOWANY
6677,SCUBAPRO Everflex Yulex-Dive 5/4mm Damski,Scubapro,Scubapro/K,T,T,,ZMAPOWANY
6675,SCUBAPRO Everflex Yulex-Dive 5/4mm Męski,Scubapro,Scubapro/M,T,T,,ZMAPOWANY
6678,"SCUBAPRO Everflex Yulex-Dive 7,5/5 mm Damski",Scubapro,Scubapro/K,T,T,,ZMAPOWANY
6676,"SCUBAPRO Everflex Yulex-Dive 7,5/5 mm Męski",Scubapro,Scubapro/M,T,T,,ZMAPOWANY
5374,SCUBAPRO Hybrid Vest 6mm Damski,Scubapro,Scubapro/K,T,T,,ZMAPOWANY
5373,SCUBAPRO Hybrid Vest 6mm Męski,Scubapro,Scubapro/M,T,T,,ZMAPOWANY
6681,SCUBAPRO Kamizelka Everflex Yulex-Dive 2 mm Hooded Vest Unisex,Scubapro,Scubapro/K + Scubapro/M,T,T,,ZMAPOWANY
6680,SCUBAPRO Kamizelka Everflex Yulex-Dive 5/3mm Hooded Vest Damska,Scubapro,Scubapro/K,T,T,,ZMAPOWANY
6679,SCUBAPRO Kamizelka Everflex Yulex-Dive 5/3mm Hooded Vest Męska,Scubapro,Scubapro/M,T,T,,ZMAPOWANY
4243,Scubapro OneFlex Overal 5mm,Scubapro,Scubapro/K + Scubapro/M,T,T,,ZMAPOWANY
4244,Scubapro OneFlex Overal 7mm,Scubapro,Scubapro/K + Scubapro/M,T,T,,ZMAPOWANY
4245,Scubapro OneFlex Vest 5mm ocieplacz rozmiar L,Scubapro,—,N,N,,lista Janka — 0 wariantow rozmiaru mimo rozmiaru w nazwie (cel #1)
7563,Scubapro Rebel 5 Kamizelka z Kapturem dla dzieci,Scubapro,Scubapro/DZIECI,T,T,,ZMAPOWANY
4851,SCUBAPRO Rebel Overal 6mm,Scubapro,Scubapro/DZIECI,T,T,,ZMAPOWANY
3027,"SCUBAPRO Rebel Overall 2,5mm",Scubapro,Scubapro/DZIECI,T,T,,ZMAPOWANY
3365,SCUBAPRO Rebel Shorty 2mm pianka,Scubapro,Scubapro/DZIECI,T,T,,ZMAPOWANY
5444,SCUBAPRO UPF 50 Steamer Damski,Scubapro,Scubapro/K,T,T,,ZMAPOWANY
5445,SCUBAPRO UPF 50 Steamer Męski,Scubapro,Scubapro/M,T,T,,ZMAPOWANY
