product_id,nazwa,marka,kategoria,kategorie_ps,ma_warianty_rozmiar,typ_czartu,url_obrazka_jesli_grafika,ma_kalkulator_inline,uwagi
6770,Skarpety Scubatech Super Stretch 2.5 mm,(brak marki),buty,Buty,T,nic,,N,"brak img-chartu, brak tabeli progow, brak kalkulatora"
6242,Buty AQUALUNG Manta Boots 5mm,AQUALUNG,buty,Buty,T,nic,,N,"brak img-chartu, brak tabeli progow, brak kalkulatora"
4705,Buty AQUALUNG Superzip Ergo 5mm,AQUALUNG,buty,Buty,T,nic,,N,"brak img-chartu, brak tabeli progow, brak kalkulatora"
7280,Skarpety docieplające Avatar,Avatar,buty,Buty do suchego,T,grafika_do_weryfikacji,,N,tabela etykiet rozmiarow BEZ progow; brak img
7384,BARE Polar Stretch Mid-Layer Boot Liner (skarpety),BARE,buty,Buty do suchego,T,grafika,https://divezone.pl/img/cms/BARE/Rozmiary buty skarpety BARE.png,N,img nazwany jak size chart
4462,BARE SB System Mid Layer Boot Liner (skarpety),BARE,buty,Buty do suchego,T,grafika,https://divezone.pl/img/cms/BARE/Rozmiary buty skarpety BARE.png,N,img nazwany jak size chart
7494,Bare buty 7mm Ultrawarmth,BARE,buty,Buty,T,nic,,N,"brak img-chartu, brak tabeli progow, brak kalkulatora"
5422,Buty BARE Boots 7mm,BARE,buty,Buty,T,grafika,https://divezone.pl/img/cms/BARE/bare-buty-tabela.jpg,N,img nazwany jak size chart
5423,Buty BARE Feet 3mm,BARE,buty,Buty,T,grafika_do_weryfikacji,https://divezone.pl/img/cms/BARE/bare-buty-tabela.jpg,N,tekst wspomina dobor/tabele rozmiaru; jest <table> spec; kandydat=ostatni img
6731,Buty BARE Feet S-flex 3mm,BARE,buty,Buty,T,grafika,https://divezone.pl/img/cms/BARE/bare-buty-tabela.jpg,N,img nazwany jak size chart
6830,Buty BARE Force 1,BARE,buty,Buty do suchego,T,nic,,N,"brak img-chartu, brak tabeli progow, brak kalkulatora"
1158,Buty BARE Ice Boot 6mm,BARE,buty,Buty,T,grafika,https://divezone.pl/img/cms/BARE/bare-buty-tabela.jpg,N,img nazwany jak size chart
6483,Buty BARE S-flex Boots 7mm,BARE,buty,Buty,T,nic,,N,"ma <table> (spec, nie rozmiarowa); brak innych sygnalow rozmiaru"
1160,Skarpety BARE Neo Socks,BARE,buty,Buty,T,grafika_do_weryfikacji,https://divezone.pl/img/cms/BARE/bare-buty-tabela.jpg,N,tabela etykiet rozmiarow BEZ progow; kandydat=ostatni img
5038,KWARK Skarpety Walonki Navy,KWARK,buty,Buty do suchego,T,nic,,N,"brak img-chartu, brak tabeli progow, brak kalkulatora"
4386,KWARK Skarpety długie Power Stretch Pro,KWARK,buty,Buty do suchego,T,grafika,https://divezone.pl/img/cms/KWARK/kwark-skarpety-tab.jpg,N,img nazwany jak size chart
4388,KWARK Skarpety krótkie Aqua Shell,KWARK,buty,Buty do suchego,T,grafika,https://divezone.pl/img/cms/KWARK/kwark-skarpety-tab.jpg,N,img nazwany jak size chart
4385,KWARK Skarpety krótkie Power Stretch Pro,KWARK,buty,Buty do suchego,T,grafika,https://divezone.pl/img/cms/KWARK/kwark-skarpety-tab.jpg,N,img nazwany jak size chart
5368,Buty MARES Classic NG 5mm,MARES,buty,Buty,T,nic,,N,"ma <table> (spec, nie rozmiarowa); brak innych sygnalow rozmiaru"
5369,Buty MARES Equator 2mm,MARES,buty,Buty,T,nic,,N,"ma <table> (spec, nie rozmiarowa); brak innych sygnalow rozmiaru"
7281,Buty do suchego skafandra ROCK BOOTS - XR LINE,MARES,buty,Buty do suchego,T,nic,,N,"ma <table> (spec, nie rozmiarowa); brak innych sygnalow rozmiaru"
4182,Skarpety NO GRAVITY Polartec Power Strech,NO GRAVITY,buty,Buty do suchego,T,nic,,N,"ma <table> (spec, nie rozmiarowa); brak innych sygnalow rozmiaru"
5217,Skarpety zimowe NO GRAVITY,NO GRAVITY,buty,Buty do suchego,T,grafika_do_weryfikacji,,N,tabela etykiet rozmiarow BEZ progow; brak img
5424,Buty BARE HD Tropic Boot 3mm roz. 35,Outlet,buty,Buty,T,nic,,N,"brak img-chartu, brak tabeli progow, brak kalkulatora"
5772,Buty BARE Ice Boot 6mm,Outlet,buty,Buty,T,grafika,https://divezone.pl/img/cms/BARE/bare-buty-tabela.jpg,N,img nazwany jak size chart
6935,SANTI Buty Water Trekker 3.0 Rock Boots,SANTI,buty,Buty do suchego,T,grafika_do_weryfikacji,,N,tekst wspomina dobor/tabele rozmiaru; tabela etykiet rozmiarow BEZ progow; brak img
3604,SANTI Rock buty,SANTI,buty,Buty do suchego,T,nic,,N,"brak img-chartu, brak tabeli progow, brak kalkulatora"
5512,SANTI skarpety docieplające do suchego skafandra Primaloft Comfort,SANTI,buty,Buty do suchego,T,grafika_do_weryfikacji,,N,tabela etykiet rozmiarow BEZ progow; brak img
6188,Buty SCUBAPRO Base Boot 4mm,SCUBAPRO,buty,Buty,T,nic,,N,"brak img-chartu, brak tabeli progow, brak kalkulatora"
6187,Buty SCUBAPRO Delta Boot 5mm,SCUBAPRO,buty,Buty,T,nic,,N,"brak img-chartu, brak tabeli progow, brak kalkulatora"
2290,"Buty SCUBAPRO Delta Boots 6,5mm",SCUBAPRO,buty,Buty,T,nic,,N,"ma <table> (spec, nie rozmiarowa); brak innych sygnalow rozmiaru"
4242,Buty SCUBAPRO Delta Short Boots 3mm,SCUBAPRO,buty,Buty,T,grafika_do_weryfikacji,,N,tekst wspomina dobor/tabele rozmiaru; tabela etykiet rozmiarow BEZ progow; brak img
3734,Buty SCUBAPRO HD Drysuit Boots,SCUBAPRO,buty,Buty do suchego,T,grafika_do_weryfikacji,https://divezone.pl/img/cms/SCUBAPRO/spro-buty-suche-tab.jpg,N,tekst wspomina dobor/tabele rozmiaru; kandydat=ostatni img
5128,"Buty SCUBAPRO Heavy-Duty 6,5mm",SCUBAPRO,buty,Buty,T,grafika_do_weryfikacji,,N,tabela etykiet rozmiarow BEZ progow; brak img
4765,"Buty SCUBAPRO No Zip HD 6,5mm",SCUBAPRO,buty,Buty,T,nic,,N,"brak img-chartu, brak tabeli progow, brak kalkulatora"
6208,Buty TECLINE Komfort 5mm,TECLINE,buty,Buty,T,nic,,N,"ma <table> (spec, nie rozmiarowa); brak innych sygnalow rozmiaru"
6210,Buty TECLINE Komfort Titanium 7mm,TECLINE,buty,Buty,T,nic,,N,"ma <table> (spec, nie rozmiarowa); brak innych sygnalow rozmiaru"
6587,Buty TECLINE Proterm 5mm,TECLINE,buty,Buty,T,nic,,N,"ma <table> (spec, nie rozmiarowa); brak innych sygnalow rozmiaru"
6417,Buty TECLINE neoprenowe krótkie 3mm,TECLINE,buty,Buty,T,nic,,N,"ma <table> (spec, nie rozmiarowa); brak innych sygnalow rozmiaru"
7460,Buty Tecline Rockboots do suchego skafandra,TECLINE,buty,Buty do suchego,T,nic,,N,"brak img-chartu, brak tabeli progow, brak kalkulatora"
6107,Buty neoprenowe Tecline 5 mm,TECLINE,buty,Buty,T,grafika_do_weryfikacji,,N,tekst wspomina dobor/tabele rozmiaru; brak img
7644,Tecline Buty neoprenowe XT 6 mm,TECLINE,buty,Buty,T,nic,,N,"brak img-chartu, brak tabeli progow, brak kalkulatora"
4685,Buty TUSA Imprex Dive Boots 3mm (DB-0201),TUSA,buty,Buty,T,nic,,N,"brak img-chartu, brak tabeli progow, brak kalkulatora"
4684,Buty TUSA Imprex Dive Boots 5MM (DB-0101),TUSA,buty,Buty,T,grafika_do_weryfikacji,,N,tekst wspomina dobor/tabele rozmiaru; jest <table> spec; brak img
6372,Buty TUSA SS Dive Boot 5mm (DB-0107),TUSA,buty,Buty,T,nic,,N,"brak img-chartu, brak tabeli progow, brak kalkulatora"
6928,TUSA Dive Boot 3mm DB-0204,TUSA,buty,Buty,T,nic,,N,"brak img-chartu, brak tabeli progow, brak kalkulatora"
6929,TUSA Dive Boot 5mm DB-0109,TUSA,buty,Buty,T,nic,,N,"brak img-chartu, brak tabeli progow, brak kalkulatora"
5601,Buty TUSA SPORT DB 0103,TUSA  SPORT,buty,Buty,T,grafika,https://divezone.pl/img/cms/screenshooter-imageconverter5b83ccfb2349d1.png,N,img nazwany jak size chart
7484,Buty Tusa Marine Shoes 2mm,TUSA  SPORT,buty,Buty,T,grafika_do_weryfikacji,,N,tekst wspomina dobor/tabele rozmiaru; jest <table> spec; brak img
6949,TYPHOON Buty neoprenowe 3mm Storm,Typhoon,buty,Buty,T,nic,,N,"brak img-chartu, brak tabeli progow, brak kalkulatora"
6937,"TYPHOON Buty neoprenowe 6,5 mm",Typhoon,buty,Buty,T,nic,,N,"brak img-chartu, brak tabeli progow, brak kalkulatora"
6634,Rękawice AQUALUNG Admiral III 2mm Damskie,AQUALUNG,rekawice,Rękawice,T,grafika_do_weryfikacji,,N,tabela etykiet rozmiarow BEZ progow; brak img
5289,Rękawice AQUALUNG Admiral III 2mm Męskie,AQUALUNG,rekawice,Rękawice,T,nic,,N,"ma <table> (spec, nie rozmiarowa); brak innych sygnalow rozmiaru"
6582,Rękawice AQUALUNG Thermocline 3mm,AQUALUNG,rekawice,Rękawice,T,grafika_do_weryfikacji,https://divezone.pl/img/cms/FACEBOOK/Rękawice AQUALUNG Thermocline 5mm.jpg,N,tekst wspomina dobor/tabele rozmiaru; tabela etykiet rozmiarow BEZ progow; kandydat=ostatni img
4706,Rękawice AQUALUNG Thermocline 5mm,AQUALUNG,rekawice,Rękawice,T,grafika_do_weryfikacji,https://divezone.pl/img/cms/FACEBOOK/Rękawice AQUALUNG Thermocline 5mm.jpg,N,tabela etykiet rozmiarow BEZ progow; kandydat=ostatni img
7495,Bare rękawice 5mm Ultrawarmth Glove,BARE,rekawice,Rękawice,T,nic,,N,"brak img-chartu, brak tabeli progow, brak kalkulatora"
1154,Rękawice BARE 5mm Gauntlet Glove,BARE,rekawice,Rękawice,T,grafika,https://divezone.pl/img/cms/BARE/Rozmiary rękawic Bare.png,N,img nazwany jak size chart
1153,Rękawice BARE 5mm Glove,BARE,rekawice,Rękawice,T,grafika,https://divezone.pl/img/cms/BARE/Rozmiary rękawic Bare.png,N,img nazwany jak size chart
